played_at_utc,track_name,artist_name,ms_played,genre_bucket
2025-11-06T09:32:00Z,Losing It,Fisher,152391,EDM/Dance
2025-11-06T10:06:00Z,Holocene,Bon Iver,202997,Mellow/Rock/Hip-Hop
2025-11-06T13:34:00Z,Suno,Prabh Deep,124684,Mellow/Rock/Hip-Hop
2025-11-06T22:15:00Z,Sheikh Chilli,Raftaar,213987,Mellow/Rock/Hip-Hop
2025-11-07T07:05:00Z,Alone,Marshmello,151965,EDM/Dance
2025-11-07T10:03:00Z,Weird Fishes/Arpeggi,Radiohead,195544,Mellow/Rock/Hip-Hop
2025-11-07T14:12:00Z,Nude,Radiohead,139862,Mellow/Rock/Hip-Hop
2025-11-07T20:11:00Z,Everything In Its Right Place,Radiohead,163018,Mellow/Rock/Hip-Hop
2025-11-07T21:51:00Z,Nude,Radiohead,234264,Mellow/Rock/Hip-Hop
2025-11-08T08:10:00Z,Namastute,Seedhe Maut,189345,Mellow/Rock/Hip-Hop
2025-11-08T08:47:00Z,Weird Fishes/Arpeggi,Radiohead,172209,Mellow/Rock/Hip-Hop
2025-11-08T15:59:00Z,Never Sleep Alone,Kaskade,209277,EDM/Dance
2025-11-08T22:09:00Z,Rap Meri Jaan,KR$NA,139780,Mellow/Rock/Hip-Hop
2025-11-09T09:38:00Z,Line Of Sight,ODESZA,107815,EDM/Dance
2025-11-09T12:03:00Z,Rap Meri Jaan,KR$NA,223124,Mellow/Rock/Hip-Hop
2025-11-09T19:07:00Z,Holocene,Bon Iver,239336,Mellow/Rock/Hip-Hop
2025-11-10T07:29:00Z,Nude,Radiohead,237585,Mellow/Rock/Hip-Hop
2025-11-10T11:42:00Z,Namastute,Seedhe Maut,168642,Mellow/Rock/Hip-Hop
2025-11-10T13:42:00Z,Fake Empire,The National,172361,Mellow/Rock/Hip-Hop
2025-11-10T20:42:00Z,Beautiful Creatures,Illenium,238170,EDM/Dance
2025-11-11T11:59:00Z,Fake Empire,The National,181490,Mellow/Rock/Hip-Hop
2025-11-11T16:39:00Z,Rap Meri Jaan,KR$NA,228658,Mellow/Rock/Hip-Hop
2025-11-11T18:18:00Z,Holocene,Bon Iver,131352,Mellow/Rock/Hip-Hop
2025-11-12T11:16:00Z,Nude,Radiohead,120258,Mellow/Rock/Hip-Hop
2025-11-12T11:17:00Z,Rap Meri Jaan,KR$NA,163860,Mellow/Rock/Hip-Hop
2025-11-12T13:43:00Z,Mumbai 10,Divine,159201,Mellow/Rock/Hip-Hop
2025-11-13T07:07:00Z,Namastute,Seedhe Maut,109724,Mellow/Rock/Hip-Hop
2025-11-13T07:21:00Z,Weird Fishes/Arpeggi,Radiohead,124293,Mellow/Rock/Hip-Hop
2025-11-13T08:53:00Z,Everything In Its Right Place,Radiohead,186787,Mellow/Rock/Hip-Hop
2025-11-13T09:40:00Z,Weird Fishes/Arpeggi,Radiohead,201037,Mellow/Rock/Hip-Hop
2025-11-13T12:47:00Z,Fake Empire,The National,205824,Mellow/Rock/Hip-Hop
2025-11-13T18:13:00Z,Weird Fishes/Arpeggi,Radiohead,155412,Mellow/Rock/Hip-Hop
2025-11-13T20:08:00Z,Everything In Its Right Place,Radiohead,100965,Mellow/Rock/Hip-Hop
2025-11-14T09:49:00Z,Fake Empire,The National,163170,Mellow/Rock/Hip-Hop
2025-11-14T11:59:00Z,Namastute,Seedhe Maut,152059,Mellow/Rock/Hip-Hop
2025-11-14T13:52:00Z,Holocene,Bon Iver,210665,Mellow/Rock/Hip-Hop
2025-11-14T14:01:00Z,Holocene,Bon Iver,140627,Mellow/Rock/Hip-Hop
2025-11-14T19:43:00Z,Rap Meri Jaan,KR$NA,230565,Mellow/Rock/Hip-Hop
2025-11-14T19:55:00Z,Nude,Radiohead,100151,Mellow/Rock/Hip-Hop
2025-11-14T20:01:00Z,Everything In Its Right Place,Radiohead,137018,Mellow/Rock/Hip-Hop
2025-11-14T20:51:00Z,Mumbai 10,Divine,155055,Mellow/Rock/Hip-Hop
2025-11-15T07:33:00Z,Namastute,Seedhe Maut,231151,Mellow/Rock/Hip-Hop
2025-11-15T10:24:00Z,Rap Meri Jaan,KR$NA,139828,Mellow/Rock/Hip-Hop
2025-11-15T12:37:00Z,Never Be Like You,Flume,159590,EDM/Dance
2025-11-15T18:27:00Z,Holocene,Bon Iver,108343,Mellow/Rock/Hip-Hop
2025-11-15T20:22:00Z,Strobe,Deadmau5,172228,EDM/Dance
2025-11-16T16:13:00Z,Fake Empire,The National,202692,Mellow/Rock/Hip-Hop
2025-11-16T16:25:00Z,Everything In Its Right Place,Radiohead,233638,Mellow/Rock/Hip-Hop
2025-11-16T16:32:00Z,Nude,Radiohead,171077,Mellow/Rock/Hip-Hop
2025-11-16T17:29:00Z,Sheikh Chilli,Raftaar,205811,Mellow/Rock/Hip-Hop
2025-11-16T19:44:00Z,Mumbai 10,Divine,167504,Mellow/Rock/Hip-Hop
2025-11-16T20:42:00Z,Holocene,Bon Iver,189390,Mellow/Rock/Hip-Hop
2025-11-16T23:30:00Z,Holocene,Bon Iver,134483,Mellow/Rock/Hip-Hop
2025-11-16T23:42:00Z,Fake Empire,The National,177867,Mellow/Rock/Hip-Hop
2025-11-17T13:45:00Z,Sheikh Chilli,Raftaar,190657,Mellow/Rock/Hip-Hop
2025-11-17T14:30:00Z,Animals,Martin Garrix,109091,EDM/Dance
2025-11-17T14:51:00Z,Fake Empire,The National,142200,Mellow/Rock/Hip-Hop
2025-11-18T10:49:00Z,Weird Fishes/Arpeggi,Radiohead,201449,Mellow/Rock/Hip-Hop
2025-11-18T17:48:00Z,Rap Meri Jaan,KR$NA,206017,Mellow/Rock/Hip-Hop
2025-11-18T20:53:00Z,Rap Meri Jaan,KR$NA,233621,Mellow/Rock/Hip-Hop
2025-11-18T21:03:00Z,Rap Meri Jaan,KR$NA,236120,Mellow/Rock/Hip-Hop
2025-11-18T21:08:00Z,Nude,Radiohead,211803,Mellow/Rock/Hip-Hop
2025-11-18T22:28:00Z,Everything In Its Right Place,Radiohead,157945,Mellow/Rock/Hip-Hop
2025-11-19T09:08:00Z,Rap Meri Jaan,KR$NA,129539,Mellow/Rock/Hip-Hop
2025-11-19T13:04:00Z,Everything In Its Right Place,Radiohead,198755,Mellow/Rock/Hip-Hop
2025-11-19T14:31:00Z,Rap Meri Jaan,KR$NA,147520,Mellow/Rock/Hip-Hop
2025-11-19T16:15:00Z,Nude,Radiohead,161228,Mellow/Rock/Hip-Hop
2025-11-19T19:30:00Z,Sheikh Chilli,Raftaar,91545,Mellow/Rock/Hip-Hop
2025-11-19T19:54:00Z,Fake Empire,The National,199843,Mellow/Rock/Hip-Hop
2025-11-19T19:57:00Z,Namastute,Seedhe Maut,95120,Mellow/Rock/Hip-Hop
2025-11-19T21:26:00Z,Rap Meri Jaan,KR$NA,106322,Mellow/Rock/Hip-Hop
2025-11-19T22:40:00Z,Rap Meri Jaan,KR$NA,152716,Mellow/Rock/Hip-Hop
2025-11-20T07:58:00Z,Everything In Its Right Place,Radiohead,193290,Mellow/Rock/Hip-Hop
2025-11-20T09:41:00Z,Weird Fishes/Arpeggi,Radiohead,202358,Mellow/Rock/Hip-Hop
2025-11-20T12:03:00Z,Heroes,Alesso,158198,EDM/Dance
2025-11-20T19:46:00Z,Losing It,Fisher,133265,EDM/Dance
2025-11-20T21:20:00Z,Holocene,Bon Iver,178473,Mellow/Rock/Hip-Hop
2025-11-21T07:15:00Z,Weird Fishes/Arpeggi,Radiohead,142261,Mellow/Rock/Hip-Hop
2025-11-21T07:59:00Z,Nude,Radiohead,171777,Mellow/Rock/Hip-Hop
2025-11-21T08:22:00Z,Rap Meri Jaan,KR$NA,148778,Mellow/Rock/Hip-Hop
2025-11-21T10:44:00Z,Clarity,Zedd,169058,EDM/Dance
2025-11-21T10:49:00Z,Everything In Its Right Place,Radiohead,132930,Mellow/Rock/Hip-Hop
2025-11-21T11:15:00Z,Sheikh Chilli,Raftaar,123088,Mellow/Rock/Hip-Hop
2025-11-21T13:29:00Z,Nude,Radiohead,157172,Mellow/Rock/Hip-Hop
2025-11-21T15:53:00Z,Namastute,Seedhe Maut,111471,Mellow/Rock/Hip-Hop
2025-11-21T19:45:00Z,Namastute,Seedhe Maut,141990,Mellow/Rock/Hip-Hop
2025-11-22T08:22:00Z,Sheikh Chilli,Raftaar,229655,Mellow/Rock/Hip-Hop
2025-11-22T09:32:00Z,Mumbai 10,Divine,179451,Mellow/Rock/Hip-Hop
2025-11-22T11:27:00Z,Suno,Prabh Deep,136173,Mellow/Rock/Hip-Hop
2025-11-22T12:31:00Z,Mumbai 10,Divine,145605,Mellow/Rock/Hip-Hop
2025-11-22T15:20:00Z,Sheikh Chilli,Raftaar,154355,Mellow/Rock/Hip-Hop
2025-11-22T15:56:00Z,Nude,Radiohead,208175,Mellow/Rock/Hip-Hop
2025-11-22T19:21:00Z,Suno,Prabh Deep,97523,Mellow/Rock/Hip-Hop
2025-11-22T22:06:00Z,Never Sleep Alone,Kaskade,203645,EDM/Dance
2025-11-22T22:29:00Z,Fake Empire,The National,204183,Mellow/Rock/Hip-Hop
2025-11-23T09:15:00Z,Holocene,Bon Iver,196542,Mellow/Rock/Hip-Hop
2025-11-23T09:18:00Z,Weird Fishes/Arpeggi,Radiohead,148090,Mellow/Rock/Hip-Hop
2025-11-23T15:35:00Z,Sheikh Chilli,Raftaar,92661,Mellow/Rock/Hip-Hop
2025-11-23T16:42:00Z,Holocene,Bon Iver,186736,Mellow/Rock/Hip-Hop
2025-11-23T22:41:00Z,Holocene,Bon Iver,218665,Mellow/Rock/Hip-Hop
2025-11-24T11:17:00Z,Weird Fishes/Arpeggi,Radiohead,101931,Mellow/Rock/Hip-Hop
2025-11-24T12:12:00Z,Rap Meri Jaan,KR$NA,146723,Mellow/Rock/Hip-Hop
2025-11-24T14:07:00Z,Fake Empire,The National,140484,Mellow/Rock/Hip-Hop
2025-11-24T16:14:00Z,Holocene,Bon Iver,184602,Mellow/Rock/Hip-Hop
2025-11-24T17:22:00Z,Rap Meri Jaan,KR$NA,208946,Mellow/Rock/Hip-Hop
2025-11-24T23:38:00Z,Fake Empire,The National,164186,Mellow/Rock/Hip-Hop
2025-11-25T15:55:00Z,Weird Fishes/Arpeggi,Radiohead,215233,Mellow/Rock/Hip-Hop
2025-11-25T22:06:00Z,Everything In Its Right Place,Radiohead,93215,Mellow/Rock/Hip-Hop
2025-11-25T22:28:00Z,Suno,Prabh Deep,179314,Mellow/Rock/Hip-Hop
2025-11-26T08:09:00Z,Nude,Radiohead,129111,Mellow/Rock/Hip-Hop
2025-11-26T09:15:00Z,Fake Empire,The National,121051,Mellow/Rock/Hip-Hop
2025-11-26T14:49:00Z,Namastute,Seedhe Maut,226989,Mellow/Rock/Hip-Hop
2025-11-27T09:10:00Z,Fake Empire,The National,152879,Mellow/Rock/Hip-Hop
2025-11-27T10:48:00Z,Sheikh Chilli,Raftaar,144470,Mellow/Rock/Hip-Hop
2025-11-27T12:00:00Z,Nude,Radiohead,197090,Mellow/Rock/Hip-Hop
2025-11-27T20:19:00Z,Sheikh Chilli,Raftaar,239062,Mellow/Rock/Hip-Hop
2025-11-27T21:04:00Z,Fake Empire,The National,151190,Mellow/Rock/Hip-Hop
2025-11-27T22:18:00Z,Sheikh Chilli,Raftaar,98556,Mellow/Rock/Hip-Hop
2025-11-28T10:29:00Z,Suno,Prabh Deep,169715,Mellow/Rock/Hip-Hop
2025-11-28T15:52:00Z,Everything In Its Right Place,Radiohead,127286,Mellow/Rock/Hip-Hop
2025-11-28T16:38:00Z,Line Of Sight,ODESZA,239214,EDM/Dance
2025-11-28T20:07:00Z,Holocene,Bon Iver,232753,Mellow/Rock/Hip-Hop
2025-11-28T23:34:00Z,Fake Empire,The National,219445,Mellow/Rock/Hip-Hop
2025-11-29T07:48:00Z,Clarity,Zedd,160650,EDM/Dance
2025-11-29T12:21:00Z,Nude,Radiohead,197910,Mellow/Rock/Hip-Hop
2025-11-29T17:38:00Z,Never Sleep Alone,Kaskade,155632,EDM/Dance
2025-11-29T18:26:00Z,Suno,Prabh Deep,177374,Mellow/Rock/Hip-Hop
2025-11-29T20:40:00Z,Everything In Its Right Place,Radiohead,218902,Mellow/Rock/Hip-Hop
2025-11-29T22:33:00Z,Everything In Its Right Place,Radiohead,205927,Mellow/Rock/Hip-Hop
2025-11-30T08:29:00Z,Namastute,Seedhe Maut,113084,Mellow/Rock/Hip-Hop
2025-11-30T10:49:00Z,Mumbai 10,Divine,195952,Mellow/Rock/Hip-Hop
2025-11-30T14:45:00Z,Sheikh Chilli,Raftaar,131517,Mellow/Rock/Hip-Hop
2025-11-30T15:35:00Z,Holocene,Bon Iver,124344,Mellow/Rock/Hip-Hop
2025-11-30T20:05:00Z,Weird Fishes/Arpeggi,Radiohead,148903,Mellow/Rock/Hip-Hop
2025-11-30T21:26:00Z,Weird Fishes/Arpeggi,Radiohead,104209,Mellow/Rock/Hip-Hop
2025-11-30T22:07:00Z,Suno,Prabh Deep,97567,Mellow/Rock/Hip-Hop
2025-11-30T22:40:00Z,Mumbai 10,Divine,205878,Mellow/Rock/Hip-Hop
2025-12-01T11:31:00Z,Nude,Radiohead,166509,Mellow/Rock/Hip-Hop
2025-12-01T16:46:00Z,Weird Fishes/Arpeggi,Radiohead,168264,Mellow/Rock/Hip-Hop
2025-12-01T18:21:00Z,Suno,Prabh Deep,234681,Mellow/Rock/Hip-Hop
2025-12-01T20:21:00Z,Fake Empire,The National,223100,Mellow/Rock/Hip-Hop
2025-12-01T20:53:00Z,Fake Empire,The National,216484,Mellow/Rock/Hip-Hop
2025-12-01T21:35:00Z,Holocene,Bon Iver,127917,Mellow/Rock/Hip-Hop
2025-12-01T21:59:00Z,Namastute,Seedhe Maut,174352,Mellow/Rock/Hip-Hop
2025-12-01T22:55:00Z,Sheikh Chilli,Raftaar,128953,Mellow/Rock/Hip-Hop
2025-12-01T23:47:00Z,Sheikh Chilli,Raftaar,125784,Mellow/Rock/Hip-Hop
2025-12-02T09:15:00Z,Weird Fishes/Arpeggi,Radiohead,165334,Mellow/Rock/Hip-Hop
2025-12-02T10:33:00Z,Suno,Prabh Deep,209780,Mellow/Rock/Hip-Hop
2025-12-02T11:32:00Z,Weird Fishes/Arpeggi,Radiohead,177030,Mellow/Rock/Hip-Hop
2025-12-02T17:39:00Z,Never Be Like You,Flume,194197,EDM/Dance
2025-12-02T19:14:00Z,Sheikh Chilli,Raftaar,197682,Mellow/Rock/Hip-Hop
2025-12-02T19:20:00Z,Mumbai 10,Divine,217912,Mellow/Rock/Hip-Hop
2025-12-02T19:24:00Z,Heroes,Alesso,129873,EDM/Dance
2025-12-02T20:06:00Z,Nude,Radiohead,116347,Mellow/Rock/Hip-Hop
2025-12-02T20:55:00Z,Line Of Sight,ODESZA,130464,EDM/Dance
2025-12-03T08:20:00Z,Weird Fishes/Arpeggi,Radiohead,104711,Mellow/Rock/Hip-Hop
2025-12-03T12:10:00Z,Sheikh Chilli,Raftaar,135893,Mellow/Rock/Hip-Hop
2025-12-03T14:31:00Z,Never Sleep Alone,Kaskade,127517,EDM/Dance
2025-12-03T16:43:00Z,Suno,Prabh Deep,233287,Mellow/Rock/Hip-Hop
2025-12-03T20:09:00Z,Mumbai 10,Divine,154014,Mellow/Rock/Hip-Hop
2025-12-03T21:16:00Z,Fake Empire,The National,92463,Mellow/Rock/Hip-Hop
2025-12-04T14:24:00Z,Nude,Radiohead,239926,Mellow/Rock/Hip-Hop
2025-12-04T16:01:00Z,Fake Empire,The National,193758,Mellow/Rock/Hip-Hop
2025-12-04T16:12:00Z,Suno,Prabh Deep,190845,Mellow/Rock/Hip-Hop
2025-12-04T16:40:00Z,Sheikh Chilli,Raftaar,201230,Mellow/Rock/Hip-Hop
2025-12-05T08:37:00Z,Suno,Prabh Deep,185646,Mellow/Rock/Hip-Hop
2025-12-05T10:57:00Z,Everything In Its Right Place,Radiohead,100334,Mellow/Rock/Hip-Hop
2025-12-05T16:20:00Z,Nude,Radiohead,198921,Mellow/Rock/Hip-Hop
2025-12-05T18:14:00Z,Holocene,Bon Iver,139841,Mellow/Rock/Hip-Hop
2025-12-05T22:53:00Z,Weird Fishes/Arpeggi,Radiohead,165024,Mellow/Rock/Hip-Hop
2025-12-06T10:29:00Z,Mumbai 10,Divine,109739,Mellow/Rock/Hip-Hop
2025-12-06T19:54:00Z,Holocene,Bon Iver,236096,Mellow/Rock/Hip-Hop
2025-12-06T22:51:00Z,Fake Empire,The National,167369,Mellow/Rock/Hip-Hop
2025-12-06T23:32:00Z,Mumbai 10,Divine,161441,Mellow/Rock/Hip-Hop
2025-12-07T10:29:00Z,Fake Empire,The National,186622,Mellow/Rock/Hip-Hop
2025-12-07T14:41:00Z,Sheikh Chilli,Raftaar,106571,Mellow/Rock/Hip-Hop
2025-12-07T16:41:00Z,Suno,Prabh Deep,197032,Mellow/Rock/Hip-Hop
2025-12-07T19:52:00Z,Fake Empire,The National,187379,Mellow/Rock/Hip-Hop
2025-12-07T22:01:00Z,Clarity,Zedd,237169,EDM/Dance
2025-12-08T11:24:00Z,Rap Meri Jaan,KR$NA,208919,Mellow/Rock/Hip-Hop
2025-12-08T20:37:00Z,Rap Meri Jaan,KR$NA,130507,Mellow/Rock/Hip-Hop
2025-12-08T22:07:00Z,Fake Empire,The National,115478,Mellow/Rock/Hip-Hop
2025-12-09T07:03:00Z,Clarity,Zedd,177427,EDM/Dance
2025-12-09T13:04:00Z,Everything In Its Right Place,Radiohead,235282,Mellow/Rock/Hip-Hop
2025-12-09T13:07:00Z,Never Be Like You,Flume,209201,EDM/Dance
2025-12-09T18:34:00Z,Nude,Radiohead,184024,Mellow/Rock/Hip-Hop
2025-12-09T20:17:00Z,Sheikh Chilli,Raftaar,98576,Mellow/Rock/Hip-Hop
2025-12-09T21:28:00Z,Holocene,Bon Iver,151895,Mellow/Rock/Hip-Hop
2025-12-10T07:17:00Z,Sheikh Chilli,Raftaar,127929,Mellow/Rock/Hip-Hop
2025-12-10T11:00:00Z,Animals,Martin Garrix,183911,EDM/Dance
2025-12-10T15:51:00Z,Rap Meri Jaan,KR$NA,135743,Mellow/Rock/Hip-Hop
2025-12-10T17:49:00Z,Holocene,Bon Iver,128680,Mellow/Rock/Hip-Hop
2025-12-11T08:30:00Z,Weird Fishes/Arpeggi,Radiohead,195281,Mellow/Rock/Hip-Hop
2025-12-11T08:46:00Z,Holocene,Bon Iver,226695,Mellow/Rock/Hip-Hop
2025-12-11T12:16:00Z,Weird Fishes/Arpeggi,Radiohead,103736,Mellow/Rock/Hip-Hop
2025-12-11T17:24:00Z,Never Be Like You,Flume,229082,EDM/Dance
2025-12-11T17:38:00Z,Beautiful Creatures,Illenium,128884,EDM/Dance
2025-12-11T20:06:00Z,Rap Meri Jaan,KR$NA,119992,Mellow/Rock/Hip-Hop
2025-12-11T22:45:00Z,Nude,Radiohead,206277,Mellow/Rock/Hip-Hop
2025-12-11T23:07:00Z,Never Sleep Alone,Kaskade,106661,EDM/Dance
2025-12-11T23:37:00Z,Mumbai 10,Divine,118587,Mellow/Rock/Hip-Hop
2025-12-12T08:18:00Z,Namastute,Seedhe Maut,171906,Mellow/Rock/Hip-Hop
2025-12-12T09:27:00Z,Beautiful Creatures,Illenium,115313,EDM/Dance
2025-12-12T11:35:00Z,Mumbai 10,Divine,105723,Mellow/Rock/Hip-Hop
2025-12-12T11:43:00Z,Mumbai 10,Divine,214326,Mellow/Rock/Hip-Hop
2025-12-12T13:27:00Z,Rap Meri Jaan,KR$NA,208372,Mellow/Rock/Hip-Hop
2025-12-12T17:27:00Z,Nude,Radiohead,171926,Mellow/Rock/Hip-Hop
2025-12-12T17:42:00Z,Rap Meri Jaan,KR$NA,122042,Mellow/Rock/Hip-Hop
2025-12-12T17:52:00Z,Namastute,Seedhe Maut,208882,Mellow/Rock/Hip-Hop
2025-12-12T23:13:00Z,Sheikh Chilli,Raftaar,130561,Mellow/Rock/Hip-Hop
2025-12-13T07:38:00Z,Namastute,Seedhe Maut,160109,Mellow/Rock/Hip-Hop
2025-12-13T08:43:00Z,Sheikh Chilli,Raftaar,111386,Mellow/Rock/Hip-Hop
2025-12-13T09:47:00Z,Animals,Martin Garrix,229062,EDM/Dance
2025-12-13T09:56:00Z,Mumbai 10,Divine,103791,Mellow/Rock/Hip-Hop
2025-12-13T11:36:00Z,Everything In Its Right Place,Radiohead,195063,Mellow/Rock/Hip-Hop
2025-12-13T16:58:00Z,Never Be Like You,Flume,179082,EDM/Dance
2025-12-13T18:07:00Z,Mumbai 10,Divine,163024,Mellow/Rock/Hip-Hop
2025-12-13T21:21:00Z,Namastute,Seedhe Maut,131263,Mellow/Rock/Hip-Hop
2025-12-14T08:00:00Z,Never Sleep Alone,Kaskade,143588,EDM/Dance
2025-12-14T10:22:00Z,Rap Meri Jaan,KR$NA,202699,Mellow/Rock/Hip-Hop
2025-12-14T11:48:00Z,Holocene,Bon Iver,156982,Mellow/Rock/Hip-Hop
2025-12-14T21:26:00Z,Sheikh Chilli,Raftaar,161609,Mellow/Rock/Hip-Hop
2025-12-14T22:33:00Z,Strobe,Deadmau5,170850,EDM/Dance
2025-12-15T12:08:00Z,Never Sleep Alone,Kaskade,189669,EDM/Dance
2025-12-15T16:07:00Z,Namastute,Seedhe Maut,196176,Mellow/Rock/Hip-Hop
2025-12-15T20:01:00Z,Animals,Martin Garrix,210521,EDM/Dance
2025-12-15T20:36:00Z,Mumbai 10,Divine,196017,Mellow/Rock/Hip-Hop
2025-12-15T23:35:00Z,Holocene,Bon Iver,182842,Mellow/Rock/Hip-Hop
2025-12-16T14:27:00Z,Beautiful Creatures,Illenium,194975,EDM/Dance
2025-12-16T16:47:00Z,Namastute,Seedhe Maut,179001,Mellow/Rock/Hip-Hop
2025-12-16T21:53:00Z,Sheikh Chilli,Raftaar,184857,Mellow/Rock/Hip-Hop
2025-12-17T10:33:00Z,Rap Meri Jaan,KR$NA,223680,Mellow/Rock/Hip-Hop
2025-12-17T12:49:00Z,Nude,Radiohead,219529,Mellow/Rock/Hip-Hop
2025-12-17T15:12:00Z,Everything In Its Right Place,Radiohead,135481,Mellow/Rock/Hip-Hop
2025-12-17T18:46:00Z,Mumbai 10,Divine,128716,Mellow/Rock/Hip-Hop
2025-12-18T08:22:00Z,Sheikh Chilli,Raftaar,222995,Mellow/Rock/Hip-Hop
2025-12-18T09:41:00Z,Fake Empire,The National,113670,Mellow/Rock/Hip-Hop
2025-12-18T17:55:00Z,Suno,Prabh Deep,172873,Mellow/Rock/Hip-Hop
2025-12-18T19:29:00Z,Rap Meri Jaan,KR$NA,235310,Mellow/Rock/Hip-Hop
2025-12-18T21:02:00Z,Heroes,Alesso,104913,EDM/Dance
2025-12-18T22:28:00Z,Beautiful Creatures,Illenium,169382,EDM/Dance
2025-12-19T08:50:00Z,Mumbai 10,Divine,177726,Mellow/Rock/Hip-Hop
2025-12-19T11:21:00Z,Sheikh Chilli,Raftaar,111365,Mellow/Rock/Hip-Hop
2025-12-19T13:20:00Z,Strobe,Deadmau5,214683,EDM/Dance
2025-12-19T18:19:00Z,Everything In Its Right Place,Radiohead,192749,Mellow/Rock/Hip-Hop
2025-12-19T18:58:00Z,Mumbai 10,Divine,164158,Mellow/Rock/Hip-Hop
2025-12-19T19:18:00Z,Beautiful Creatures,Illenium,156059,EDM/Dance
2025-12-19T21:06:00Z,Weird Fishes/Arpeggi,Radiohead,180030,Mellow/Rock/Hip-Hop
2025-12-19T21:33:00Z,Heroes,Alesso,227035,EDM/Dance
2025-12-19T23:41:00Z,Nude,Radiohead,135235,Mellow/Rock/Hip-Hop
2025-12-20T09:41:00Z,Rap Meri Jaan,KR$NA,200993,Mellow/Rock/Hip-Hop
2025-12-20T18:19:00Z,Weird Fishes/Arpeggi,Radiohead,137254,Mellow/Rock/Hip-Hop
2025-12-20T19:41:00Z,Fake Empire,The National,176108,Mellow/Rock/Hip-Hop
2025-12-20T22:12:00Z,Mumbai 10,Divine,149386,Mellow/Rock/Hip-Hop
2025-12-21T08:42:00Z,Rap Meri Jaan,KR$NA,178280,Mellow/Rock/Hip-Hop
